week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
0000-00,0.0,0.0,0.0,0.0,12.0
2022-02,-0.7584846622628506,1.0,2.315649314313628,1.0,1.0
2022-03,-0.4567081905960805,1.0,-0.5029371256019628,1.0,1.0
2022-05,-0.3937974361045849,0.44247821563593975,-0.4198099929516459,0.05885875337022394,3.0
2022-07,-0.3588652883395434,1.0,-0.3535533905932738,1.0,1.0
2022-08,-0.5114272917450776,1.5732587687612025,-0.4785105256069082,0.024609961609475976,3.0
2022-10,0.6347331295646338,0.10235179968217585,-0.53164229434711,0.24814425700316814,2.0
2022-11,-0.03566172614595976,1.0,-0.4911126087315682,1.0,1.0
2022-13,-0.08703882797784891,1.0,,1.0,1.0
2022-14,0.25,1.0,0.0,1.0,1.0
2022-15,0.039151934567606676,0.19360831822778937,-0.5359636511974563,0.19837187994392075,3.0
2022-16,-0.6144414636200163,0.7458599601564689,-0.3535533905932738,1.0,2.0
2022-17,-0.1309007932443281,1.9139538697912832,-0.4281644119538012,0.0695172693051223,3.0
2022-19,-0.11022216694355284,0.04353768207157771,0.0321514210190636,1.1043981790011637,2.0
2022-20,1.0574412113590248,1.0,-0.43982723653656175,1.0,1.0
2022-21,0.35904689684997143,0.7071843564905049,0.8630488568350912,2.2794646016732183,2.0
2022-23,0.9862648823584563,0.4441293525050972,0.4641302047583107,1.409957888879264,2.0
2022-24,0.37619424886874303,1.0147058906638016,-0.4740251895104842,0.2538163164143805,4.0
2022-25,-0.1486768775862578,1.7152824524795445,-0.6302466792390984,0.1376055191898561,4.0
2022-26,0.11680740572948545,0.8420128045664894,-0.4296533301060012,0.06284387420327626,6.0
2022-27,-0.6805028149505821,1.5768458503310947,-0.17121962862252882,0.9122147156917474,7.0
2022-28,-0.08294280366959338,0.5958173961280125,-0.13986407681779223,0.9397207432565791,6.0
2022-29,0.15912392187240335,0.7958398139961183,-0.6634437221417869,0.17198189603516584,6.0
2022-30,-0.389944265624606,0.6305300931715241,0.11874522001780714,0.9135984963550804,6.0
2022-31,-0.2880116609705897,0.6799356161348931,0.02231931179480845,0.702520435451814,10.0
2022-32,-0.8410271179538277,1.3285781930194482,0.12749281232013124,1.0609389256979789,3.0
2022-33,-0.6267181572121012,0.8467709898219113,0.2133520608675184,1.214062469344393,4.0
2022-34,0.09160787106479171,0.827442604992416,-0.11451247887467716,0.9674395714923537,10.0
2022-35,-0.0019518269117042852,0.7712606720221336,-0.01782059586557269,0.8479703121535102,4.0
2022-36,-0.03684104046995307,0.9131585641405282,-0.2961720869852581,0.8814672343275767,8.0
2022-37,0.2495196305207048,1.3817807516976828,0.40238489895905083,1.2701059313875827,5.0
2022-38,-0.6398518842445373,0.6929981038264472,-0.02521278857815171,1.0119345599297127,14.0
2022-39,0.04031499500973986,0.9989324837746448,0.06375519170895125,1.0934181137027612,90.0
2022-40,-0.19560372473939067,0.8622371787092971,-0.04987505467381588,0.9615055330408452,111.0
2022-41,0.0983682194813577,1.035172335620021,0.0016832783073466983,1.083721019633761,243.0
2022-42,0.06018200710191209,1.0012608533251588,0.024295833794380464,0.9607943943637081,341.0
2022-43,-0.06623731050925309,0.9167365525276433,-0.0641864869898314,0.9256142764337382,362.0
2022-44,0.0735774264687415,0.9787188372053981,0.16148061246470502,1.1526567116756499,384.0
2022-45,-0.011872336307927745,0.9815954016823675,0.13694414117144518,1.0762187477608394,426.0
2022-46,0.027681472054159845,0.9933813574984259,0.10333834544433386,1.044058271641567,403.0
2022-47,-0.032060172176106565,0.9987663198981038,0.027689085197674455,1.0148563625607896,584.0
2022-48,-0.02653414629489984,0.92505701191025,-0.020723320711526,0.946404276602624,487.0
2022-49,-0.019639253492616797,1.0581703765460095,-0.11040284425580031,0.8250719863240756,438.0
2022-50,0.06290622066317154,0.9974317140143192,0.06886256901136625,1.053228404297772,444.0
2022-51,0.06775160574255748,1.0712991765025623,-0.06096327073516428,0.885212745924002,430.0
2022-52,-0.018288298178203502,0.8925353622599009,0.18812512521870692,1.1633746175769575,286.0
2023-00,0.39626119647582747,0.6324530497451496,-0.18723736028951804,0.7275961319088411,17.0
2023-01,0.041165854676058905,0.964248465251857,0.15931025271494195,1.2181696314276198,328.0
2023-02,-0.0010930022954033704,1.0146804418742612,-0.004218258781524417,1.0699232277474462,232.0
2023-03,0.018534984857972954,0.9656611063762829,-0.05813264647865792,0.9531136851647299,325.0
2023-04,0.0411498545253382,1.0272304586231322,0.029349505782654325,1.0822840954527904,265.0
2023-05,0.06115139305336719,0.9486261850455594,-0.032199157027772055,0.9126608650748828,315.0
2023-06,-0.049124557047826346,0.928733169507917,0.11693005423693376,1.1713291744623069,272.0
2023-07,-0.08555237768654626,0.934034490911035,0.14512332774628575,1.2155657816122847,277.0
2023-08,0.021392793251364537,0.9895769796496333,-0.01946069211195221,0.9826573463769203,452.0
2023-09,-0.05882817192232729,0.9694193569146714,-0.038159034465461865,0.9326301877797075,283.0
2023-10,0.004695995387223855,0.9584420899631406,-0.042408605588744264,0.9171752389416669,335.0
2023-11,0.0397006160083759,1.070007757385113,-0.13205211580779433,0.7757166531333447,334.0
2023-12,0.04540883382900456,1.0092287288518105,-0.11805882896201347,0.7328730617016439,355.0
2023-13,0.0100116054794525,1.0336286011703668,-0.021826365360744344,0.9349845772473,253.0
2023-14,-0.018666197605978138,0.9693969016784798,-0.018618643885488628,1.0670318931982976,300.0
2023-15,-0.06624728338767576,1.024119291348842,0.01073612425190806,1.0719019400677863,307.0
2023-16,-0.12140277974889373,1.0195311892649748,-0.09373659714617362,0.8361843059951594,256.0
2023-17,0.03994459536224138,0.9722536168242479,0.05487107724725844,0.9921649816470257,262.0
2023-18,-0.02540386338412066,1.0294599407461151,-0.02191426518995286,1.0135573018618933,322.0
2023-19,-0.01055577574962532,1.0794054432858466,-0.14128097331091324,0.7752727807215704,386.0
2023-20,0.013354620695995448,0.9233931422861182,-0.030056393788164194,1.041044681403335,295.0
2023-21,0.037579229416418336,0.9910876930045087,-0.03490678384588616,0.9155628813899441,339.0
2023-22,0.07221471789190372,1.0510893683422913,0.03625717113816135,1.0576666004110347,290.0
2023-23,0.003899578049363445,0.9551120855707129,-0.05353555338368287,0.897518587925309,302.0
2023-24,0.11455286814302058,1.0382464982216393,-0.02192923698735549,0.9894988975563067,350.0
2023-25,0.019676679402144737,1.0051740100055433,-0.06057160649427151,0.9303835027037097,280.0
2023-26,-0.059808461474356804,0.9837231028854183,-0.03478201091931778,0.9187297407907767,274.0
2023-27,-0.04627447479306267,0.9735854936030365,0.0903373970851225,1.127590256029171,326.0
2023-28,0.041825627516262204,0.9779925943723203,0.013918207776379997,1.0657116840522065,293.0
2023-29,0.056780669853029805,1.0207115316371609,0.06004612991923993,1.0604745883199067,231.0
2023-30,-0.10706685473045972,1.0812782828579794,0.022022119344225072,0.9919451260935894,293.0
2023-31,0.032131727167140085,0.9920626927347838,-0.013972780176472606,0.9354759026503489,234.0
2023-32,-0.1674890887261105,0.9837805482830057,-0.08723854511336264,0.878012151925994,279.0
2023-33,0.013258966128777694,0.9961303957385632,-0.015713680506708794,0.9768992798341047,253.0
2023-34,-0.1582932555495237,1.0761443527014105,-0.04833885612455796,0.9323252688287499,244.0
2023-35,0.05329671733046999,0.8524369180371602,0.010858813129122147,1.0085018361519165,184.0
2023-36,-0.0686719821895152,1.049579700438711,0.18404626070553937,1.2438774207798375,288.0
2023-37,0.04532268149972645,0.9345748431286058,-0.039737240845081796,0.9976962854260439,271.0
2023-38,-0.021909664026586402,1.0787543536890964,-0.12443961772631058,0.9234631172825507,213.0
2023-39,0.12615405302397095,1.0490471584817462,-0.07529820026681487,0.8543261819134669,156.0
