,phrase,label,sentiment,subjectivity,language,count
Preisbremsen,Preisbremsen,LOC,0.08961038961038961,0.14285714285714285,de,77
Belgorod,Belgorod,LOC,5.767392335715099e-18,0.01948051948051948,de,77
Norwegen,Norwegen,LOC,0.18815789473684208,0.09605263157894738,de,76
Israels,Israels,LOC,0.08082191780821918,0.00684931506849315,de,73
Estland,Estland,LOC,0.061805555555555544,0.1111111111111111,de,72
Finanzminister,Finanzminister,LOC,0.09600938967136151,0.03286384976525821,de,71
Taiwan,Taiwan,LOC,-0.045070422535211284,0.0,de,71
Kanada,Kanada,LOC,0.0434782608695652,0.021739130434782608,de,69
Niedersachsen,Niedersachsen,LOC,0.06544117647058824,0.0661764705882353,de,68
Schwarzen Meer,Schwarzen Meer,LOC,0.06911764705882353,0.0,de,68
Ostukraine,Ostukraine,LOC,-0.13257575757575757,0.045454545454545456,de,66
Warschau,Warschau,LOC,0.03,0.03076923076923077,de,65
Selenskyj,Selenskyj,LOC,-0.04296875,0.015625,de,64
Dänemark,Dänemark,LOC,-0.01614583333333332,0.046875,de,64
Union,Union,LOC,0.15079365079365079,0.0,de,63
Griechenland,Griechenland,LOC,-0.0873015873015873,0.02857142857142857,de,63
Niederlande,Niederlande,LOC,0.09316939890710381,0.0273224043715847,de,61
Brandenburg,Brandenburg,LOC,-0.055833333333333325,0.1,de,60
Saudi-Arabien,Saudi-Arabien,LOC,0.065,0.04,de,60
Nordkoreas,Nordkoreas,LOC,-0.09661016949152543,0.01694915254237288,de,59
EU-Staaten,EU-Staaten,LOC,0.02816091954022989,0.1810344827586207,de,58
Serbien,Serbien,LOC,-0.1448275862068966,0.0603448275862069,de,58
Afrika,Afrika,LOC,-0.06842105263157894,0.05263157894736842,de,57
Donbass,Donbass,LOC,-0.0543859649122807,0.08771929824561403,de,57
Vilnius,Vilnius,LOC,0.24196428571428566,0.026785714285714284,de,56
Slowakei,Slowakei,LOC,0.013988095238095235,0.07142857142857142,de,56
Straße,Straße,LOC,-0.08606060606060606,0.09090909090909091,de,55
NRW,NRW,LOC,-0.02592592592592593,0.05061728395061728,de,54
Litauen,Litauen,LOC,-0.09444444444444446,0.037037037037037035,de,54
Den Haag,Den Haag,LOC,-0.08148148148148149,0.08333333333333333,de,54
Moldau,Moldau,LOC,-0.08287037037037036,0.0,de,54
Brasilien,Brasilien,LOC,0.10961538461538461,0.10576923076923077,de,52
Energiepreisbremsen,Energiepreisbremsen,LOC,0.10096153846153846,0.02564102564102564,de,52
Bergkarabach,Bergkarabach,LOC,-0.05705128205128206,0.057692307692307696,de,52
Südafrika,Südafrika,LOC,0.051923076923076926,0.019230769230769232,de,52
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.01862745098039216,0.0196078431372549,de,51
New York,New York,LOC,0.055999999999999994,0.0,de,50
Argentinien,Argentinien,LOC,0.022166666666666657,0.08166666666666668,de,50
Nürnberg,Nürnberg,LOC,-0.09,0.03,de,50
Dresden,Dresden,LOC,0.02,0.12,de,50
Sachsen,Sachsen,LOC,0.01938775510204081,0.05102040816326531,de,49
Statistische Bundesamt,Statistische Bundesamt,LOC,0.15714285714285717,0.04081632653061224,de,49
Kosovo,Kosovo,LOC,-0.14489795918367349,0.030612244897959183,de,49
Moskauer,Moskauer,LOC,-0.11326530612244898,0.01020408163265306,de,49
Stuttgart,Stuttgart,LOC,0.03404255319148936,0.02127659574468085,de,47
Wagner-Söldner,Wagner-Söldner,LOC,0.025531914893617016,0.0425531914893617,de,47
Aserbaidschan,Aserbaidschan,LOC,-0.03043478260869565,0.03260869565217391,de,46
Sewastopol,Sewastopol,LOC,0.020652173913043477,0.010869565217391304,de,46
Hessen,Hessen,LOC,-0.19021739130434784,0.09782608695652174,de,46
Krim-Brücke,Krim-Brücke,LOC,-0.025555555555555554,0.03333333333333333,de,45
Klimageld,Klimageld,LOC,0.048888888888888885,0.06666666666666667,de,45
Bremen,Bremen,LOC,-0.008888888888888882,0.011111111111111112,de,45
Briten,Briten,LOC,0.0037878787878787897,0.056818181818181816,de,44
Landtag,Landtag,LOC,-0.010227272727272725,0.0,de,44
Australien,Australien,LOC,-0.056818181818181816,0.03409090909090909,de,44
Libanon,Libanon,LOC,0.002325581395348829,0.0,de,43
Mariupol,Mariupol,LOC,-0.0996124031007752,0.023255813953488372,de,43
Rumänien,Rumänien,LOC,-0.05465116279069766,0.023255813953488372,de,43
Rom,Rom,LOC,0.16627906976744186,0.023255813953488372,de,43
Qualitätsartikel,Qualitätsartikel,LOC,-1.0,0.0,de,43
Nordsee,Nordsee,LOC,-1.5491484064537068e-17,0.08139534883720931,de,43
Davos,Davos,LOC,0.07325581395348836,0.06976744186046512,de,43
Köln,Köln,LOC,-0.07441860465116279,0.16279069767441862,de,43
Mittelmeer,Mittelmeer,LOC,-0.06821705426356589,0.11627906976744186,de,43
Luftalarm,Luftalarm,LOC,0.0738095238095238,0.07142857142857142,de,42
Armenien,Armenien,LOC,-0.02560975609756097,0.04878048780487805,de,41
Corona,Corona,LOC,-0.044715447154471545,0.1382113821138211,de,41
Berlins,Berlins,LOC,0.06624999999999999,0.135,de,40
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,LOC,0.044871794871794865,0.05128205128205128,de,39
Drohnenangriffen,Drohnenangriffen,LOC,-0.2160683760683761,0.10854700854700855,de,39
Bundesrepublik,Bundesrepublik,LOC,0.11153846153846153,0.07692307692307693,de,39
Wagner-Gruppe,Wagner-Gruppe,LOC,-0.07435897435897434,0.02564102564102564,de,39
Euroraum,Euroraum,LOC,0.044871794871794865,0.07692307692307693,de,39
Soledar,Soledar,LOC,0.0025641025641025606,0.05128205128205128,de,39
St. Petersburg,St. Petersburg,LOC,0.06885964912280702,0.05263157894736842,de,38
Atomkraftwerk Saporischschja,Atomkraftwerk Saporischschja,LOC,-0.05657894736842105,0.02631578947368421,de,38
Bulgarien,Bulgarien,LOC,0.017105263157894745,0.02631578947368421,de,38
Ukraine-News,Ukraine-News,LOC,-0.02631578947368421,0.0,de,38
Putin,Putin,LOC,-0.07236842105263158,0.14473684210526316,de,38
Sachsens,Sachsens,LOC,0.0563063063063063,0.0,de,37
Istanbul,Istanbul,LOC,-0.028378378378378363,0.05405405405405406,de,37
Irak,Irak,LOC,-0.012857142857142855,0.05714285714285714,de,35
Bayerns,Bayerns,LOC,0.00476190476190477,0.08571428571428572,de,35
AKW Saporischschja,AKW Saporischschja,LOC,-0.08857142857142856,0.02857142857142857,de,35
Baden-Württemberg,Baden-Württemberg,LOC,-0.03428571428571429,0.05714285714285714,de,35
Luhansk,Luhansk,LOC,0.01176470588235294,0.058823529411764705,de,34
G,G,LOC,0.02352941176470588,0.0,de,34
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,0.0024509803921568605,0.07352941176470588,de,34
Belgien,Belgien,LOC,-0.11176470588235293,0.00980392156862745,de,34
Potsdam,Potsdam,LOC,-0.03333333333333333,0.15151515151515152,de,33
Schleswig-Holstein,Schleswig-Holstein,LOC,-0.05303030303030304,0.101010101010101,de,33
Saarland,Saarland,LOC,-0.06060606060606061,0.15151515151515152,de,33
Lettland,Lettland,LOC,-0.19141414141414143,0.07575757575757576,de,33
Wilhelmshaven,Wilhelmshaven,LOC,-0.14242424242424243,0.0,de,33
Vereinigten Staaten,Vereinigten Staaten,LOC,0.0505050505050505,0.030303030303030304,de,33
Pakistan,Pakistan,LOC,-0.09595959595959597,0.0808080808080808,de,33
Klimaaktivisten,Klimaaktivisten,LOC,-0.12196969696969698,0.022727272727272728,de,33
Brasiliens,Brasiliens,LOC,-0.021875,0.03125,de,32
Lwiw,Lwiw,LOC,-0.14583333333333334,0.041666666666666664,de,32
Thüringen,Thüringen,LOC,0.0875,0.1875,de,32
Tschechien,Tschechien,LOC,-0.071875,0.03125,de,32
Polens,Polens,LOC,0.11612903225806454,0.016129032258064516,de,31
Kasachstan,Kasachstan,LOC,0.10322580645161289,0.1774193548387097,de,31
Ramstein,Ramstein,LOC,0.14677419354838708,0.03225806451612903,de,31
Tunesien,Tunesien,LOC,-0.1153225806451613,0.0967741935483871,de,31
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.0005376344086021557,0.03763440860215054,de,31
Westjordanland,Westjordanland,LOC,-0.21,0.1,de,30
Bali,Bali,LOC,0.1,0.0,de,30
Amerikaner,Amerikaner,LOC,-0.07388888888888889,0.09444444444444446,de,30
Italiens,Italiens,LOC,0.17,0.03333333333333333,de,30
Leipzig,Leipzig,LOC,-0.1,0.0,de,30
Haushaltsurteil,Haushaltsurteil,LOC,-0.17333333333333334,0.03333333333333333,de,30
Österreichs,Österreichs,LOC,-0.029310344827586206,0.034482758620689655,de,29
Amerika,Amerika,LOC,0.012356321839080458,0.034482758620689655,de,29
der Schweiz,der Schweiz,LOC,0.07413793103448277,0.034482758620689655,de,29
Bonn,Bonn,LOC,-0.07241379310344827,0.06896551724137931,de,29
Hannover,Hannover,LOC,-0.14137931034482756,0.0,de,29
Schwedens,Schwedens,LOC,-0.03103448275862069,0.034482758620689655,de,29
Finnlands,Finnlands,LOC,0.06428571428571428,0.07142857142857142,de,28
Ungarns,Ungarns,LOC,0.0035714285714285665,0.07142857142857142,de,28
Ukraine-Krieg,Ukraine-Krieg,LOC,0.017261904761904756,0.03571428571428571,de,28
Ukraine-Überblick,Ukraine-Überblick,LOC,-0.017857142857142842,0.0,de,28
Georgien,Georgien,LOC,-0.04642857142857143,0.07142857142857142,de,28
Khartum,Khartum,LOC,-0.025925925925925925,0.0,de,27
Europäer,Europäer,LOC,0.15185185185185185,0.07407407407407407,de,27
Bundesverfassungsgericht,Bundesverfassungsgericht,LOC,0.046296296296296294,0.0,de,27
Asien,Asien,LOC,-0.07777777777777777,0.0,de,27
Bundesanwaltschaft,Bundesanwaltschaft,LOC,-0.14814814814814814,0.037037037037037035,de,27
Kiel,Kiel,LOC,-0.14423076923076922,0.019230769230769232,de,26
Prigoschin,Prigoschin,LOC,-0.2628205128205128,0.0,de,26
Waffenruhe,Waffenruhe,LOC,-0.11538461538461539,0.0,de,26
Florida,Florida,LOC,-0.1987179487179487,0.028846153846153848,de,26
Republik Moldau,Republik Moldau,LOC,-0.01923076923076925,0.0,de,26
Ukraine-Liveblog,Ukraine-Liveblog,LOC,-0.08846153846153845,0.0,de,26
Lützerath,Lützerath,LOC,0.0020000000000000104,0.1,de,25
G7-Gipfel,G7-Gipfel,LOC,0.012000000000000002,0.0,de,25
Emsland,Emsland,LOC,0.012000000000000002,0.12,de,25
Nord-Stream-Pipelines,Nord-Stream-Pipelines,LOC,-0.138,0.12,de,25
Sylt,Sylt,LOC,-0.0040000000000000036,0.0,de,25
Klima-Volksentscheid,Klima-Volksentscheid,LOC,-0.091,0.03333333333333333,de,25
Selenskij,Selenskij,LOC,-0.048611111111111105,0.041666666666666664,de,24
Ukraine +++,Ukraine +++,LOC,0.050694444444444466,0.020833333333333332,de,24
Staat,Staat,LOC,0.09583333333333333,0.14583333333333334,de,24
Südkorea,Südkorea,LOC,-0.2604166666666667,0.0,de,24
Bundesverfassungsgerichts,Bundesverfassungsgerichts,LOC,0.027083333333333334,0.08333333333333333,de,24
Niederlanden,Niederlanden,LOC,0.14166666666666664,0.020833333333333332,de,24
Teheran,Teheran,LOC,-0.06666666666666665,0.041666666666666664,de,24
Essen,Essen,LOC,0.07916666666666666,0.020833333333333332,de,24
Eurozone,Eurozone,LOC,-0.041666666666666664,0.08333333333333333,de,24
