day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
000-00-00,0.0,0.0,0.0,0.0,9.0
2022-01-10,-0.7584846622628508,1.0,2.315649314313628,1.0,1.0
2022-01-20,-0.4507198746002327,1.0,-0.4464212791914937,1.0,1.0
2022-01-31,-0.3588652883395434,1.0,-0.3535533905932738,1.0,1.0
2022-02-01,-0.41882825128486145,0.6349926096612101,-0.46054645860318,0.029301404848431373,2.0
2022-02-14,-0.3588652883395434,1.0,-0.3535533905932738,1.0,1.0
2022-02-21,-2.2596935377535616,1.0,-0.48878380384881603,1.0,1.0
2022-02-22,-0.012151446977862803,1.0,-0.4728844257344363,1.0,1.0
2022-02-24,0.8003534775782918,1.0,-0.44606350935773886,1.0,1.0
2022-03-08,0.5005604741588958,1.0,-0.35467239867521694,1.0,1.0
2022-03-09,0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
2022-03-19,-0.012151446977862803,1.0,-0.4728844257344363,1.0,1.0
2022-03-30,-0.08703882797784891,1.0,,1.0,1.0
2022-04-06,0.25,1.0,0.0,1.0,1.0
2022-04-12,0.30234078494079675,1.0,-0.4464212791914937,1.0,1.0
2022-04-13,-0.05166150386803113,1.0,-0.35467239867521694,1.0,1.0
2022-04-17,-0.14100795717350945,1.0,-0.7487760204827338,1.0,1.0
2022-04-19,-0.6144414636200163,0.7458599601564689,-0.3535533905932738,1.0,2.0
2022-04-27,-1.296273707762266,1.0,-0.4728844257344363,1.0,1.0
2022-04-29,2.0770687900864484,1.0,-0.3535533905932738,1.0,1.0
2022-05-01,-1.1519871228997585,1.0,-0.43982723653656175,1.0,1.0
2022-05-10,-0.10526495084395292,1.0,0.7926398597422638,1.0,1.0
2022-05-13,-0.14100795717350945,1.0,-0.7487760204827338,1.0,1.0
2022-05-21,1.0574412113590248,1.0,-0.43982723653656175,1.0,1.0
2022-05-25,0.8591017508734523,1.0,2.4748737341529163,1.0,1.0
2022-05-26,-0.14100795717350945,1.0,-0.7487760204827338,1.0,1.0
2022-06-09,1.3003117592388012,1.0,-0.5328605796556856,1.0,1.0
2022-06-10,0.6722180054781115,1.0,1.461120989172307,1.0,1.0
2022-06-13,-0.2395348565537332,1.0,-0.28867513459481287,1.0,1.0
2022-06-15,-0.2395348565537332,1.0,-0.28867513459481287,1.0,1.0
2022-06-17,1.1315797941016883,0.9846831884289182,-0.6789680017110007,0.09872344690938051,2.0
2022-06-21,0.8495401961310451,1.56818273208819,-0.6187799121657749,0.18384225943756521,2.0
2022-06-22,-2.24042875447727,1.0,-0.7487760204827338,1.0,1.0
2022-06-24,-0.06624761125753284,1.0,-0.5252597592212149,1.0,1.0
2022-06-28,-0.3588652883395434,1.0,-0.3535533905932738,1.0,1.0
