index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://detektor.fm/wissen/zurueck-zum-thema-heizen-mit-holz,https://detektor.fm/wissen/zurueck-zum-thema-heizen-mit-holz,0,detektor.fm,Zurück zum Thema | Heizen mit Holz – Ist Holz die Alternative zu Gas? | detektor.fm – Das Podcast-Radio,"Wie gut sich Holz zum Heizen wirklich eignet, steht in Frage: Klimabilanz und Feinstaubbelastung werden kritisiert.",https://detektor.fm/wp-content/uploads/misc/og.png,2022-04-06T16:57:53+00:00,https://web.archive.org/web/20220406172234/https://detektor.fm/wissen/zurueck-zum-thema-heizen-mit-holz,,,de-DE,'Gas'
https://www.spiegel.de/politik/deutschland/russlandkontakte-und-nordstream-2-stiftung-roettgen-legt-schwesig-ruecktritt-nahe-a-a2d9276d-e477-486a-86a9-8cba804c74f7,https://www.spiegel.de/politik/deutschland/russlandkontakte-und-nordstream-2-stiftung-roettgen-legt-schwesig-ruecktritt-nahe-a-a2d9276d-e477-486a-86a9-8cba804c74f7,0,www.spiegel.de,Nord-Stream-2-Stiftung: Norbert Röttgen legt Manuela Schwesig Rücktritt nahe - DER SPIEGEL,"Der CDU-Außenpolitiker Röttgen rät Mecklenburg-Vorpommerns Ministerpräsidentin Schwesig, ihr Amt niederzulegen. Die SPD müsse ihre »langjährigen geheimen Verstrickungen« mit Russland aufarbeiten.",https://cdn.prod.www.spiegel.de/images/3f7600c9-7e61-4e09-9da3-c562c48337d1_w1280_r1.77_fpx27_fpy50.jpg,2022-04-17T09:43:29+02:00,https://web.archive.org/web/20220417075412/https://www.spiegel.de/politik/deutschland/russlandkontakte-und-nordstream-2-stiftung-roettgen-legt-schwesig-ruecktritt-nahe-a-a2d9276d-e477-486a-86a9-8cba804c74f7,,,de,'Russland'
https://de.euronews.com/2022/04/19/industrie-in-der-klemme-glas-nicht-ohne-russisches-gas,https://de.euronews.com/2022/04/19/industrie-in-der-klemme-glas-nicht-ohne-russisches-gas,0,de.euronews.com,Industrie in der Klemme: Glas nicht ohne (russisches) Gas | Euronews,"Die Glasindustrie braucht große Energiemengen, die oft aus der Verfeuerung von Erdgas stammen. Sollte russisches Gas abgedreht werden, drohen verhängnisnisvolle Folgen.",https://static.euronews.com/articles/stories/06/62/85/72/1000x563_cmsv2_44cc3419-1361-59b7-a422-123ceaeb8bc6-6628572.jpg,2022-04-19 12:03:33,https://web.archive.org/web/20220419100814/https://de.euronews.com/2022/04/19/industrie-in-der-klemme-glas-nicht-ohne-russisches-gas,,,de,'Gas'
https://www.abendblatt.de/wirtschaft/article235118587/ukraine-krieg-energiekrise-russland-gas-atomkraftwerke-europa.html,https://www.abendblatt.de/wirtschaft/article235118587/ukraine-krieg-energiekrise-russland-gas-atomkraftwerke-europa.html,0,www.abendblatt.de,Ukraine-Krieg: Lösen kleine Atomkraftwerke die Energiekrise? - Hamburger Abendblatt ,Durch den Ukraine-Krieg muss die Energieversorgung verändert werden. Wie neue kleine Atomreaktoren und deutsche Forscher dazu beitragen ,https://img.abendblatt.de/img/wirtschaft/crop235118583/8082607609-w820-cv16_9-q85/35912fee-bfc7-11ec-b709-a4cf2fcfd962.jpg,2022-04-19T18:18:23+02:00,https://web.archive.org/web/20220420142052/https://www.abendblatt.de/wirtschaft/article235118587/ukraine-krieg-energiekrise-russland-gas-atomkraftwerke-europa.html,,,de-DE,'Atomkraft'
https://de.euronews.com/my-europe/2022/04/29/polen-und-bulgarien-konnen-bis-zum-nachsten-winter-ohne-russisches-gas-auskommen,https://de.euronews.com/my-europe/2022/04/29/polen-und-bulgarien-konnen-bis-zum-nachsten-winter-ohne-russisches-gas-auskommen,0,de.euronews.com,Polen und Bulgarien können bis zum nächsten Winter ohne russisches Gas auskommen | Euronews,"Die Entscheidung von Gazprom, den Gashahn abzudrehen, wird vorerst nicht die Verbraucher treffen, sondern die Industrie in Polen und Bulgarien. #EuropeDecoded",https://static.euronews.com/articles/stories/06/66/15/06/1000x563_cmsv2_693a87dc-3f51-5066-bd4d-51d6d600c3fa-6661506.jpg,2022-04-29 14:36:47,https://web.archive.org/web/20220429143502/http://de.euronews.com/my-europe/2022/04/29/polen-und-bulgarien-konnen-bis-zum-nachsten-winter-ohne-russisches-gas-auskommen,,,de,'Gas'
