index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/kultur/2025-02/usa-russland-donald-trump-wladimir-putin-ukraine,https://www.zeit.de/kultur/2025-02/usa-russland-donald-trump-wladimir-putin-ukraine,0,www.zeit.de,USA und Russland: Amerikas Verrat,Die USA brechen mit ihren westlichen Partnern und paktieren nun mit Russland. Denn Donald Trump und Wladimir Putin teilen dasselbe reaktionäre Weltbild.,https://img.zeit.de/politik/ausland/2025-02/usa-russland-donald-trump-wladimir-putin-ukraine-bild/wide__1300x731,2025-03-01T10:00:02Z,http://archive.md/20250301100239/https://www.zeit.de/kultur/2025-02/usa-russland-donald-trump-wladimir-putin-ukraine,"Schließen
Artikelzusammenfassung
In den 1960er Jahren wurde die Konvergenztheorie aufgestellt, die besagte, dass Kommunismus und Kapitalismus sich annähern und ähnlich werden würden. Heute, nach Tr… [+975 chars]",,de,'Wladimir Putin'
https://www.zeit.de/politik/ausland/2025-03/innenpolitik-ukraine-krieg-donald-trump-wolodymyr-selenskyj,https://www.zeit.de/politik/ausland/2025-03/innenpolitik-ukraine-krieg-donald-trump-wolodymyr-selenskyj,0,www.zeit.de,Ukraine: Die Würde des Landes verteidigt,US-Präsident Trump attackiert Wolodymyr Selenskyj vor laufenden Kameras. Die Folge: Lang stand die Ukraine nicht mehr so vereint hinter ihrem Präsidenten wie jetzt.,https://img.zeit.de/politik/ausland/2025-03/innenpolitik-ukraine-krieg-donald-trump-wolodymyr-selenskyj-bild/wide__1300x731,2025-03-01T17:13:11Z,http://archive.md/20250301171445/https://www.zeit.de/politik/ausland/2025-03/innenpolitik-ukraine-krieg-donald-trump-wolodymyr-selenskyj,"Schließen
Artikelzusammenfassung
Die Frage, warum der ukrainische Präsident Wolodymyr Selenskyj keinen Anzug trägt, war eine Provokation, die gestern unter Beobachtung der Öffentlichkeit eskalierte… [+829 chars]",,de,'Ukraine'
