index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.tagesschau.de/inland/innenpolitik/klimaaktivisten-flughafen-100.html,https://www.tagesschau.de/inland/innenpolitik/klimaaktivisten-flughafen-100.html,0,www.tagesschau.de,Klima-Aktivisten blockieren Flughafen Leipzig/Halle,"Klimaaktivisten der Gruppe ""Letzte Generation"" haben in der Nacht den Betrieb am Flughafen Leipzig/Halle blockiert. Mindestens zwei Menschen hätten sich auf der Rollbahn festgeklebt, sagte ein Sprecher der Bundespolizei.",https://images.tagesschau.de/image/26490128-cbc3-4594-af20-94e8a367a222/AAABkQuMWoc/AAABjwnlFvA/16x9-1280/letzte-generation-166.jpg,2024-08-01T01:27:18Z,,"Stand: 01.08.2024 03:27 Uhr
Klimaaktivisten der Gruppe ""Letzte Generation"" haben in der Nacht den Betrieb am Flughafen Leipzig/Halle blockiert. Mindestens zwei Menschen hätten sich auf der Rollbahn … [+1388 chars]",,de,'Klima'
https://www.zeit.de/news/2024-08/01/klimaaktivisten-stoeren-betrieb-am-flughafen-leipzig-halle,https://www.zeit.de/news/2024-08/01/klimaaktivisten-stoeren-betrieb-am-flughafen-leipzig-halle,0,www.zeit.de,Protestaktion: Klimaaktivisten stören Betrieb am Flughafen Leipzig/Halle,Hier finden Sie Informationen zu dem Thema „Protestaktion“. Lesen Sie jetzt „Klimaaktivisten stören Betrieb am Flughafen Leipzig/Halle“.,https://img.zeit.de/news/2024-08/01/klimaaktivisten-stoeren-betrieb-am-flughafen-leipzig-halle-image-group/wide__1300x731,2024-08-01T04:38:13Z,,Mehrere Klimaaktivisten haben am Flughafen Leipzig/Halle protestiert und für eine stundenlange Einstellung des Frachtflugbetriebs gesorgt. Fünf von ihnen hatten sich kurz nach Mitternacht im südliche… [+2908 chars],,de,'Klima'
https://www.tagesschau.de/wirtschaft/unternehmen/boeing-chefwechsel-100.html,https://www.tagesschau.de/wirtschaft/unternehmen/boeing-chefwechsel-100.html,0,www.tagesschau.de,Neuer Chef Kelly Ortberg soll Boeing aus der Krise führen,"Der kriselnde US-Flugzeugbauer Boeing holt sich Hilfe bei einem alten Haudegen aus der Branche. Neuer Chef wird Kelly Ortberg, der jahrelang an der Spitze eines Luftfahrt- und Rüstungszulieferers stand.",https://images.tagesschau.de/image/7fd8729e-1591-4079-8e14-495f74a73d42/AAABkQzRLBM/AAABjwnlFvA/16x9-1280/kelly-ortberg-100.jpg,2024-08-01T07:34:02Z,,"Stand: 01.08.2024 09:34 Uhr
Der kriselnde US-Flugzeugbauer Boeing holt sich Hilfe bei einem alten Haudegen aus der Branche. Neuer Chef wird Kelly Ortberg, der jahrelang an der Spitze eines Luftfahrt… [+3111 chars]",,de,'Krise'
https://www.faz.net/aktuell/politik/krieg-in-nahost/israel-krieg-im-liveticker-khamenei-soll-direkten-angriff-auf-israel-befohlen-haben-19589481.html,https://www.faz.net/aktuell/politik/krieg-in-nahost/israel-krieg-im-liveticker-khamenei-soll-direkten-angriff-auf-israel-befohlen-haben-19589481.html,0,www.faz.net,Liveblog zum Krieg in Nahost: Israel bestätigt Tod von Hamas-Militärchef Deif,Khamenei soll direkten Angriff auf Israel befohlen haben +++ In Teheran nehmen Tausende an Trauerzeremonie für getöteten Hamas-Anführer Haniyeh teil +++ Khamenei soll direkten Angriff auf Israel befohlen haben +++ alle Entwicklungen im Liveblog,https://media1.faz.net/ppmedia/aktuell/3999654826/1.9892557/facebook_teaser/zerstoerung-nach-dem.jpg,2024-08-01T08:49:19Z,,Iran ruft die internationale Gemeinschaft nach der gezielten Tötung eines hohen Hamas-Kommandeurs in Teheran zum Vorgehen gehen Israel auf. Die mutmaßlich von Israel ausgeführte Tat verstoße gegen in… [+1502 chars],,de,'Angriff'
https://www.zeit.de/politik/ausland/2024-07/student-russland-kritik-gefaengnis-abschiebung,https://www.zeit.de/politik/ausland/2024-07/student-russland-kritik-gefaengnis-abschiebung,0,www.zeit.de,Student in Russland: Vom Hörsaal ins Exil,Sergey Gulko war einer der besten Studenten seines Jahrgangs. Dann melden ihn seine Moskauer Kommilitonen den russischen Behörden. Die Geschichte einer Denunziation.,https://img.zeit.de/politik/ausland/2024-07/student-russland-kritik-gefaengnis-abschiebung-2/wide__1300x731,2024-08-01T09:30:02Z,,"Es ist eine Chatnachricht, die alles verändert. Am 16. März dieses Jahres, um kurz nach ein Uhr nachts, meldet sich eine Frau über
Telegram bei Sergey Gulko. Ihr Name ist der Redaktion bekannt, er s… [+653 chars]",,de,'Russland'
https://www.zeit.de/arbeit/2024-08/mehrarbeit-ueberstunden-zwoelf-prozent-der-beschaeftigten,https://www.zeit.de/arbeit/2024-08/mehrarbeit-ueberstunden-zwoelf-prozent-der-beschaeftigten,0,www.zeit.de,Mehrarbeit: Zwölf Prozent der Beschäftigten machen regelmäßig Überstunden,Für etwa jeden achten Beschäftigten in Deutschland gehören Überstunden zum Arbeitsalltag. In der Finanzbranche und der Energieversorgung kommen sie besonders häufig vor.,https://img.zeit.de/wirtschaft/2024-08/ueberstudnen-beschaeftigte-arbeitsplatz-bild/wide__1300x731,2024-08-01T10:26:45Z,,"In Deutschland arbeitet rund jeder achte Beschäftigte mehr als
 im Arbeitsvertrag vereinbart. Absolut sind es 4,6 Millionen 
Arbeitnehmerinnen und Arbeitnehmer, wie das Statistische Bundesamt mitte… [+3548 chars]",,de,'Finanz'
https://steiermark.orf.at/stories/3267453/,https://steiermark.orf.at/stories/3267453/,0,steiermark.orf.at,E-Scooter: Höheres Alterslimit gefordert,"Unfälle rund um E-Scooter häufen sich und heizen die Debatte um Sicherheitsmaßnahmen an – so auch in der Steiermark, wo eine Erhöhung des Alterslimits und bessere Ausbildung gefordert werden.",https://ibs.orf.at/stm?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2024%2F22%2F13%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F2224219_master_844213_kh_e-scooter_240530_clf_00_01_03_17.jpg%3Fs%3Db42a93b2611f06a51d127c58b9bde70e9e588211,2024-08-01T11:04:09Z,,"In Wien starb ein 22-Jähriger nach einem E-Scooter-Unfall mehr dazu in Tödlicher E-Roller-Unfall in Wien (wien.ORF.at) , im Bezirk Hartberg-Fürstenfeld wurde kürzlich ein Zwölfjähriger bei einem Stur… [+2067 chars]",,de,'heizen'
https://www.zeit.de/news/2024-08/01/mann-toetet-frau-und-wird-selbst-leblos-aufgefunden,https://www.zeit.de/news/2024-08/01/mann-toetet-frau-und-wird-selbst-leblos-aufgefunden,0,www.zeit.de,Brutaler Angriff: Mann tötet Frau und wird selbst leblos aufgefunden,Hier finden Sie Informationen zu dem Thema „Brutaler Angriff“. Lesen Sie jetzt „Mann tötet Frau und wird selbst leblos aufgefunden“.,https://img.zeit.de/news/2024-08/01/mann-toetet-frau-und-wird-selbst-leblos-aufgefunden-image-group/wide__1300x731,2024-08-01T11:13:08Z,,Ein Mann hat eine Frau und ihren Lebensgefährten mit einem Messer angegriffen und die Frau getötet - auch der Täter ist tot aufgefunden worden. Der 33 Jahre alte Mann betrat am Morgen die Wohnung der… [+505 chars],,de,'Angriff'
https://www.zeit.de/news/2024-08/01/angriff-auf-vollstreckungsbeamte-in-neumuenster,https://www.zeit.de/news/2024-08/01/angriff-auf-vollstreckungsbeamte-in-neumuenster,0,www.zeit.de,Polizeieinsatz: Angriff auf Vollstreckungsbeamte in Neumünster,Hier finden Sie Informationen zu dem Thema „Polizeieinsatz“. Lesen Sie jetzt „Angriff auf Vollstreckungsbeamte in Neumünster“.,https://img.zeit.de/news/2024-08/01/angriff-auf-vollstreckungsbeamte-in-neumuenster-image-group/wide__1300x731,2024-08-01T11:36:34Z,,"Ein 29 Jahre alter Mann hat sich in Neumünster so vehement gegen seine Festnahme gewehrt, dass drei Polizeibeamte verletzt wurden. Auch ein Polizeihund sei von dem Mann geschlagen und gewürgt worden,… [+2153 chars]",,de,'Angriff'
https://www.zeit.de/news/2024-08/01/fuehrung-zum-sterbenden-gletscher-an-der-zugspitze,https://www.zeit.de/news/2024-08/01/fuehrung-zum-sterbenden-gletscher-an-der-zugspitze,0,www.zeit.de,Klima: Führung zum sterbenden Gletscher an der Zugspitze,Hier finden Sie Informationen zu dem Thema „Klima“. Lesen Sie jetzt „Führung zum sterbenden Gletscher an der Zugspitze“.,https://img.zeit.de/news/2024-08/01/fuehrung-zum-sterbenden-gletscher-an-der-zugspitze-image-group/wide__1300x731,2024-08-01T12:18:57Z,,"Die letzten deutschen Gletscher stehen vor dem Ende. Bis Ende dieses Jahrzehnts, so die Prognose der Wissenschaftler, wird auch der Nördliche Schneeferner als einer der vier letzten Gletscher Deutsch… [+3141 chars]",,de,'Klima'
